name,email,date_of_birth,mobile_no,reject_reason
Tony Shepherd,Tony_Shepherd@petersen.com,07/03/2016,711447,Applicant is under 18 years old.; Invalid mobile number.
Sherry Gonzalez,Sherry_Gonzalez@caldwell.biz,14-03-1973,66744895,Invalid email address.
Ashlee Austin,Ashlee_Austin@melendez.com,12/09/1992,6454197,Invalid mobile number.
David Brown,David_Brown@jackson-smith.biz,2001-09-22,69082983,Invalid email address.
Marc Meyer,Marc_Meyer@chavez.com,1996/05/17,9727376,Invalid mobile number.
Jennifer Vega,Jennifer_Vega@jenkins.net,03/07/1971,6655 1251,Invalid mobile number.
Denise Glass,Denise_Glass@calderon.org,1982-05-31,77863943,Invalid email address.
Emily Christian,Emily_Christian@hardy-ball.biz,1993/11/27,83586,Invalid mobile number.; Invalid email address.
Billy Knight,Billy_Knight@thomas.biz,01/27/1955,4983 3743,Invalid mobile number.; Invalid email address.
Shane Davis,Shane_Davis@smith.net,2006/06/25,42361783,Applicant is under 18 years old.
Laura Harding,Laura_Harding@jackson.com,2017-12-18,32048503,Applicant is under 18 years old.
Zachary Payne,Zachary_Payne@espinoza.info,17-02-2018,7802719,Applicant is under 18 years old.; Invalid mobile number.; Invalid email address.
Jeffery Leon,Jeffery_Leon@clark.com,2004-03-24,9076271,Applicant is under 18 years old.; Invalid mobile number.
Jennifer Martin,Jennifer_Martin@anderson-ford.com,1999-01-12,1878563,Invalid mobile number.
Lori Zimmerman,Lori_Zimmerman@smith-bradley.biz,1998-02-17,14572007,Invalid email address.
Katie Mcgee,Katie_Mcgee@moran.com,25-06-1967,65726,Invalid mobile number.
Michael Parker,Michael_Parker@mcfarland-johns.com,1984-10-03,569205,Invalid mobile number.
Robert Atkins,Robert_Atkins@west.net,09-11-2017,831963,Applicant is under 18 years old.; Invalid mobile number.
Stephanie Brown,Stephanie_Brown@mueller-simmons.info,08-06-1976,8354970,Invalid mobile number.; Invalid email address.
Erin Paul,Erin_Paul@vaughan-moore.com,12/22/2008,923211,Applicant is under 18 years old.; Invalid mobile number.
Kristina Torres,Kristina_Torres@wilson.com,02/17/1956,65486,Invalid mobile number.
Timothy Scott,Timothy_Scott@williams.info,21-06-1992,169047,Invalid mobile number.; Invalid email address.
Ronald Carter,Ronald_Carter@campbell-fitzgerald.com,16-01-1968,5109812,Invalid mobile number.
Catherine Smith,Catherine_Smith@king.org,20-05-1988,1996933,Invalid mobile number.; Invalid email address.
Mrs. Catherine Rivers,Catherine_Rivers@tate-barnes.com,1975/03/13,8648641,Invalid mobile number.
Cynthia White,Cynthia_White@hogan.com,1951-08-21,722319,Invalid mobile number.
