membership_id,name,first_name,last_name,email,date_of_birth,dob_final_str,mobile_no,above_18
wilson_6845c,Aaron Wilson,Aaron,Wilson,Aaron_Wilson@burke-benton.net,17-05-1987,19870517,75053391,True
lee_d3d5c,Samuel Lee,Samuel,Lee,Samuel_Lee@gardner-rodriguez.net,1974/09/02,19740902,57636831,True
weaver_feb81,Jennifer Weaver,Jennifer,Weaver,Jennifer_Weaver@patterson.com,15-10-1978,19781015,74152151,True
hamilton_f2276,Leonard Hamilton,Leonard,Hamilton,Leonard_Hamilton@brown.com,1988-02-29,19880229,76082775,True
phillips_608c9,Kathy Phillips,Kathy,Phillips,Kathy_Phillips@floyd.com,16-12-1984,19841216,57829247,True
jimenez_5ed59,Jennifer Jimenez,Jennifer,Jimenez,Jennifer_Jimenez@morgan.com,1992-11-21,19921121,59592559,True
lawson_6d37f,Victoria Lawson,Victoria,Lawson,Victoria_Lawson@snyder.com,12-04-1954,19540412,24045823,True
martinez_bc0fc,Michael Martinez,Michael,Martinez,Michael_Martinez@hogan.net,1952/11/07,19521107,40271975,True
jones_f903f,Dr. Paul Jones,Paul,Jones,Paul_Jones@clark-irwin.com,1994/02/15,19940215,91301999,True
tran_40aaa,Danielle Tran,Danielle,Tran,Danielle_Tran@mann.com,1988-08-26,19880826,85246679,True
freeman_35a3d,Jeff Freeman,Jeff,Freeman,Jeff_Freeman@guzman.com,20-05-2003,20030520,13590655,True
jones_cdd9f,Marissa Jones,Marissa,Jones,Marissa_Jones@lewis.net,1958/08/06,19580806,32094119,True
roy_57ef7,Elijah Roy,Elijah,Roy,Elijah_Roy@jones-baldwin.com,1987/07/05,19870705,57159015,True
simpson_7383f,Courtney Simpson,Courtney,Simpson,Courtney_Simpson@preston-cantrell.com,1973-11-03,19731103,77314887,True
hopkins_56d12,Kimberly Hopkins,Kimberly,Hopkins,Kimberly_Hopkins@adams.com,1993-10-22,19931022,67364511,True
king_4ae33,William King,William,King,William_King@cline-allen.com,15-11-1984,19841115,21561215,True
robertson_e101e,Stephanie Robertson,Stephanie,Robertson,Stephanie_Robertson@owen-rodriguez.com,08-05-2002,20020508,75259367,True
hill_bd6cc,Rickey Hill,Rickey,Hill,Rickey_Hill@parker-cohen.com,1964-04-30,19640430,56465207,True
stewart_40f40,Erika Stewart,Erika,Stewart,Erika_Stewart@solis.com,26-12-1985,19851226,83552695,True
johnson_5dcd5,Christina Johnson,Christina,Johnson,Christina_Johnson@clark.com,22-06-2001,20010622,30262983,True
wells_5c2c0,Kelli Wells,Kelli,Wells,Kelli_Wells@jones.com,1954-03-08,19540308,27406215,True
archer_c6232,Nathan Archer,Nathan,Archer,Nathan_Archer@gray.com,1956/07/23,19560723,72954367,True
kline_6fe75,Michael Kline,Michael,Kline,Michael_Kline@phelps-alvarez.com,23-06-1965,19650623,20968343,True
rodriguez_1eec6,Joshua Rodriguez,Joshua,Rodriguez,Joshua_Rodriguez@thornton-benitez.com,1953/03/17,19530317,27953967,True
rodriguez_a7ea3,James Rodriguez,James,Rodriguez,James_Rodriguez@logan.com,1981/07/17,19810717,50981423,True
ortega_7f647,Robert Ortega,Robert,Ortega,Robert_Ortega@perez.com,16-03-1960,19600316,57040695,True
ruiz_e89df,Teresa Ruiz,Teresa,Ruiz,Teresa_Ruiz@holmes.com,1951/09/04,19510904,22432447,True
mejia_10b0a,Madison Mejia,Madison,Mejia,Madison_Mejia@sims.com,1953-03-23,19530323,73824679,True
bailey_6dd20,James Bailey,James,Bailey,James_Bailey@flynn.net,10-07-1986,19860710,26146743,True
perry_e8625,Mary Perry,Mary,Perry,Mary_Perry@williams.net,1973-08-08,19730808,57879711,True
jones_85733,Crystal Jones,Crystal,Jones,Crystal_Jones@webb.com,14-09-1962,19620914,39588047,True
brown_9035e,Aaron Brown,Aaron,Brown,Aaron_Brown@yates.com,1986-05-02,19860502,43815191,True
barajas_c09f8,Tanya Barajas,Tanya,Barajas,Tanya_Barajas@davis.com,1974-04-30,19740430,92793871,True
rasmussen_0fcc4,Samantha Rasmussen,Samantha,Rasmussen,Samantha_Rasmussen@stokes-leon.com,21-06-1994,19940621,26634223,True
martin_92713,Vincent Martin,Vincent,Martin,Vincent_Martin@wright-lee.com,1984/01/24,19840124,55457087,True
crawford_a2a35,Tony Crawford,Tony,Crawford,Tony_Crawford@moore.com,1987/08/18,19870818,15997263,True
sullivan_7d828,Randy Sullivan,Randy,Sullivan,Randy_Sullivan@perez.net,1961-10-25,19611025,15665967,True
thompson_5e06b,Kimberly Thompson,Kimberly,Thompson,Kimberly_Thompson@brewer-walters.net,12-11-2000,20001112,88531623,True
compton_395a9,Martin Compton,Martin,Compton,Martin_Compton@morgan.com,1984-06-02,19840602,42037887,True
